ticker,company_name,cik,sic_code,classification,fiscal_year,fiscal_period,roe_percentage,roe_decimal,net_income,stockholders_equity,net_income_tag,equity_tag,data_quality_flags,processing_time_ms
"AEE","Ameren Corporation Common Stock","0001002910","4931","Electric & Other Services Combined","2017","FY","7.28%","0.07280066815144766","523000000","7184000000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","971"
"AEP","American Electric Power Company Inc. Common Stock","0000004904","4911","Electric Services","2013","FY","9.20%","0.09201119055020206","1480000000","16085000000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","819"
"AES","The AES Corporation Common Stock","0000874761","4991","Known Utility Exception","2024","FY","46.08%","0.4607574094401756","1679000000","3644000000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","801"
"AESI","Atlas Energy Solutions Inc. Common Stock","0001984060","1311","Diversified Utility","2024","FY","5.78%","0.05782996770073204","59944000","1036556000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","671"
"ALE","Allete Inc.","0000066756","4931","Electric & Other Services Combined","2024","FY","6.30%","0.0629564606741573","179300000","2848000000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","1232"
"AM","Antero Midstream Corporation Common Stock","0001623925","4922","Natural Gas Transmission","2018","FY","0.22%","0.0021598829403795343","4939000","2286698000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","291"
"AMPY","Amplify Energy Corp. Common Stock","0001533924","1311","Diversified Utility","2024","FY","3.17%","0.031659623586492935","12946000","408912000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","566"
"APA","APA Corporation Common Stock","0001841666","1311","Diversified Utility","2024","FY","15.23%","0.15227272727272728","804000000","5280000000","us-gaap:NetIncomeLossAvailableToCommonStockholdersBasic","us-gaap:StockholdersEquity","","722"
"AQN","Algonquin Power & Utilities Corp. Common Shares","0001174169","4911","Electric Services","2024","FY","-29.32%","-0.29323233209336846","-1380517000","4707929000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","628"
"AQNB","Algonquin Power & Utilities Corp. 6.20% Fixed-to-Floating Subordinated Notes Series 2019-A due July 1 2079","0001174169","4911","Electric Services","2024","FY","-29.32%","-0.29323233209336846","-1380517000","4707929000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","529"
"AR","Antero Resources Corporation Common Stock","0001433270","1311","Diversified Utility","2014","FY","15.42%","0.15416672274443616","675835000","4383793000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","461"
"AROC","Archrock Inc. Common Stock","0001389050","4922","Natural Gas Transmission","2024","FY","13.01%","0.1301299327329696","172231000","1323531000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","652"
"ARTNA","Artesian Resources Corporation Class A Common Stock","0000863110","4941","Diversified Utility","2024","FY","8.53%","0.08526311828721221","20394000","239189000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","731"
"ATO","Atmos Energy Corporation Common Stock","0000731802","4924","Natural Gas Distribution","2025","FY","2.75%","0.027530888704423565","351858000","12780481000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","437"
"AVA","Avista Corporation Common Stock","0000104918","4931","Electric & Other Services Combined","2024","FY","6.95%","0.06947124662292552","180000000","2591000000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","430"
"AWK","American Water Works Company Inc. Common Stock","0001410636","4941","Diversified Utility","2024","FY","10.17%","0.10172280294231514","1051000000","10332000000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","352"
"AWR","American States Water Company Common Stock","0001056903","4941","Diversified Utility","2024","FY","12.96%","0.12963194431613032","119268000","920051000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","386"
"BATL","Battalion Oil Corporation Common Stock","0001282648","1311","Diversified Utility","2024","FY","-773.83%","-7.738349514563107","-31882000","4120000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","493"
"BKH","Black Hills Corporation Common Stock","0001130464","4911","Known Utility Exception","2024","FY","7.80%","0.07799514493788376","273100000","3501500000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","655"
"BKV","BKV Corporation Common Stock","0001838406","1311","Diversified Utility","2024","FY","-9.16%","-0.0916083494595319","-142870000","1559574000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","416"
"BRN","Barnwell Industries Inc. Common Stock","0000010048","1311","Diversified Utility","2025","FY","-16.99%","-0.16987151085511742","-1917000","11285000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","689"
"BRY","Berry Corporation (bry) Common Stock","0001705873","1311","Diversified Utility","2024","FY","2.63%","0.026348277391204374","19251000","730636000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","369"
"CDZI","CADIZ Inc. Common Stock","0000727273","4941","Diversified Utility","2024","FY","-91.69%","-0.9169341303259622","-31140000","33961000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","349"
"CDZIP","Cadiz Inc. Depositary Shares","0000727273","4941","Diversified Utility","2024","FY","-91.69%","-0.9169341303259622","-31140000","33961000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","251"
"CEG","Constellation Energy Corporation Common Stock ","0001868275","4911","Electric Services","2024","FY","28.47%","0.2847485948655628","3749000000","13166000000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","242"
"CETY","Clean Energy Technologies Inc. Common Stock","0001329606","4924","Natural Gas Distribution","2024","FY","-150.29%","-1.502915090750321","-4416319","2938502","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","279"
"CHRD","Chord Energy Corporation Common Stock","0001486159","1311","Diversified Utility","2024","FY","9.75%","0.09751797865888202","848627000","8702262000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","488"
"CIVI","Civitas Resources Inc. Common Stock","0001509589","1311","Diversified Utility","2016","FY","-1043.75%","-10.43754262630502","-198950000","19061000","us-gaap:IncomeLossFromContinuingOperations","us-gaap:StockholdersEquity","","343"
"CKX","CKX Lands Inc. Common Stock","0000352955","1311","Diversified Utility","2024","FY","1.35%","0.013465171010104152","250224","18583054","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","296"
"CLNE","Clean Energy Fuels Corp. Common Stock","0001368265","4932","Gas & Other Services Combined","2024","FY","-11.65%","-0.11646312141354012","-83070000","713273000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","427"
"CMS","CMS Energy Corporation Common Stock","0000811156","4931","Electric & Other Services Combined","2024","FY","12.19%","0.1218712029161604","1003000000","8230000000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","347"
"CMSA","CMS Energy Corporation 5.625% Junior Subordinated Notes due 2078","0000811156","4931","Electric & Other Services Combined","2024","FY","12.19%","0.1218712029161604","1003000000","8230000000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","411"
"CMSC","CMS Energy Corporation 5.875% Junior Subordinated Notes due 2078","0000811156","4931","Electric & Other Services Combined","2024","FY","12.19%","0.1218712029161604","1003000000","8230000000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","372"
"CMSD","CMS Energy Corporation 5.875% Junior Subordinated Notes due 2079","0000811156","4931","Electric & Other Services Combined","2024","FY","12.19%","0.1218712029161604","1003000000","8230000000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","281"
"CNP","CenterPoint Energy Inc (Holding Co) Common Stock","0001130310","4911","Electric Services","2024","FY","9.55%","0.09553722107631726","1019000000","10666000000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","338"
"CNX","CNX Resources Corporation Common Stock","0001070412","1311","Diversified Utility","2024","FY","-2.21%","-0.02208231760138408","-90494000","4098030000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","758"
"CPK","Chesapeake Utilities Corporation Common Stock","0000019745","4923","Natural Gas Transmission & Distribution","2024","FY","8.53%","0.08531146597611855","118600000","1390200000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","658"
"CRC","California Resources Corporation Common Stock","0001609253","1311","Diversified Utility","2024","FY","10.63%","0.10627473148671567","376000000","3538000000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","343"
"CRGY","Crescent Energy Company Class A Common Stock","0001866175","1311","Diversified Utility","2024","FY","-3.65%","-0.036502697291496994","-114605000","3139631000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest","","219"
"CRK","Comstock Resources Inc. Common Stock","0000023194","1311","Diversified Utility","2024","FY","-10.25%","-0.10247596744879459","-229651000","2241023000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","520"
"CTRA","Coterra Energy Inc. Common Stock","0000858470","1311","Diversified Utility","2024","FY","8.54%","0.08542905044962658","1121000000","13122000000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","432"
"CTRI","Centuri Holdings Inc. Common Stock","0001981599","4923","Natural Gas Transmission & Distribution","2024","FY","-35.06%","-0.3505862042363499","-168145000","479611000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","275"
"CWCO","Consolidated Water Co. Ltd. Ordinary Shares","0000928340","4941","Diversified Utility","2024","FY","13.45%","0.13448971484877206","28237554","209960695","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","460"
"CWEN","Clearway Energy Inc. Class C Common Stock","0001567683","4911","Electric Services","2024","FY","1.58%","0.015815959741193385","88000000","5564000000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest","","570"
"CWT","California Water Service Group Common Stock","0001035201","4941","Diversified Utility","2024","FY","27.29%","0.2728851107160683","190807000","699221000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","462"
"D","Dominion Energy Inc. Common Stock","0000715957","4911","Electric Services","2024","FY","7.79%","0.07793637397717683","2124000000","27253000000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","468"
"DINO","HF Sinclair Corporation Common Stock","0001915657","4610","Diversified Utility","2024","FY","1.91%","0.019077387367967234","177000000","9278000000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","267"
"DTB","DTE Energy Company 2020 Series G 4.375% Junior Subordinated Debentures due 2080","0000936340","4911","Electric Services","2024","FY","12.00%","0.1200102572869476","1404000000","11699000000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","676"
"DTE","DTE Energy Company Common Stock","0000936340","4911","Electric Services","2024","FY","12.00%","0.1200102572869476","1404000000","11699000000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","337"
"DTG","DTE Energy Company 2021 Series E 4.375% Junior Subordinated Debentures","0000936340","4911","Electric Services","2024","FY","12.00%","0.1200102572869476","1404000000","11699000000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","339"
"DTM","DT Midstream Inc. Common Stock ","0001842022","4922","Natural Gas Transmission","2024","FY","7.65%","0.07650745623514156","354000000","4627000000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","485"
"DTW","DTE Energy Company 2017 Series E 5.25% Junior Subordinated Debentures due 2077","0000936340","4911","Electric Services","2024","FY","12.00%","0.1200102572869476","1404000000","11699000000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","316"
"DUK","Duke Energy Corporation (Holding Company) Common Stock","0001326160","4931","Electric & Other Services Combined","2024","FY","9.03%","0.09025076306182298","4524000000","50127000000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","533"
"DUKB","Duke Energy Corporation 5.625% Junior Subordinated Debentures due 2078","0001326160","4931","Electric & Other Services Combined","2024","FY","9.03%","0.09025076306182298","4524000000","50127000000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","700"
"DVN","Devon Energy Corporation Common Stock","0001090012","1311","Diversified Utility","2024","FY","19.94%","0.1994343267108168","2891000000","14496000000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","713"
"DY","Dycom Industries Inc. Common Stock","0000067215","1623","Utility (Keyword Match)","2025","FY","18.75%","0.18748154358877006","142213000","758544000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","483"
"ED","Consolidated Edison Inc. Common Stock","0001047862","4931","Electric & Other Services Combined","2024","FY","8.29%","0.0828704125307349","1820000000","21962000000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","968"
"EGY","VAALCO Energy Inc.  Common Stock","0000894627","1311","Diversified Utility","2024","FY","11.66%","0.116610810174986","58490000","501583000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","580"
"EIX","Edison International Common Stock","0000827052","4911","Electric Services","2020","FY","5.26%","0.05260535307517084","739000000","14048000000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","382"
"EOG","EOG Resources Inc. Common Stock","0000821189","1311","Diversified Utility","2024","FY","21.82%","0.21815270348540083","6403000000","29351000000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","442"
"EONR","EON Resources Inc. Class A Common Stock","0001842556","1311","Diversified Utility","2024","FY","-291.59%","-2.9159013466998194","-9080283","3114057","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","250"
"EP","Empire Petroleum Corporation Common Stock","0000887396","1311","Diversified Utility","2024","FY","-25.81%","-0.258073591970047","-16197989","62765000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","336"
"EPM","Evolution Petroleum Corporation Inc. Common Stock","0001006655","1311","Diversified Utility","2025","FY","0.31%","0.003145395926712275","240000","76302000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","556"
"EPSN","Epsilon Energy Ltd. Common Share","0001726126","1311","Diversified Utility","2024","FY","1.99%","0.019930086727925855","1927800","96728129","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","502"
"EQT","EQT Corporation Common Stock","0000033213","1311","Diversified Utility","2024","FY","1.12%","0.011194347232603676","230577000","20597628000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","362"
"ES","Eversource Energy (D/B/A) Common Stock","0000072741","4911","Electric Services","2023","FY","-3.07%","-0.030669063938119467","-434700000","14173892000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","640"
"ESOA","Energy Services of America Corporation Common Stock","0001357971","1623","Utility (Keyword Match)","2018","FY","2.03%","0.020290314402349557","1238657","61046713","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","620"
"ET","Energy Transfer LP Common Units ","0001276187","4922","Natural Gas Transmission","2024","FY","10.46%","0.1046135123975922","4814000000","46017000000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest","","672"
"ETR","Entergy Corporation Common Stock","0000065984","4911","Electric Services","2023","FY","16.12%","0.16115659497216886","2356536000","14622647000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","1104"
"EVRG","Evergy Inc. Common Stock","0001711269","4931","Electric & Other Services Combined","2024","FY","8.77%","0.08774485183324962","873500000","9955000000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","361"
"EXC","Exelon Corporation Common Stock","0001109357","4931","Electric & Other Services Combined","2012","FY","5.46%","0.05464047407960431","1171000000","21431000000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","922"
"EXE","Expand Energy Corporation Common Stock","0000895126","1311","Diversified Utility","2024","FY","-4.06%","-0.040649017933390263","-714000000","17565000000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","606"
"EXEEL","Expand Energy Corporation Class C Warrants","0000895126","1311","Diversified Utility","2024","FY","-4.06%","-0.040649017933390263","-714000000","17565000000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","345"
"FANG","Diamondback Energy Inc. Common Stock","0001539838","1311","Diversified Utility","2024","FY","8.85%","0.08845664617341531","3338000000","37736000000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","332"
"FE","FirstEnergy Corp. Common Stock","0001031296","4911","Electric Services","2024","FY","7.85%","0.07852268165395423","978000000","12455000000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","345"
"GBR","New Concept Energy Inc Common Stock","0000105744","1311","Diversified Utility","2024","FY","-0.40%","-0.003967379325545515","-18000","4537000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","299"
"GNE","Genie Energy Ltd. Class B Common Stock Stock","0001528356","4931","Electric & Other Services Combined","2024","FY","6.61%","0.0660759653137926","12588000","190508000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","353"
"GPOR","Gulfport Energy Corporation Common Shares","0000874499","1311","Diversified Utility","2024","FY","-15.27%","-0.15273289069196846","-261386000","1711393000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","739"
"GRNT","Granite Ridge Resources Inc. Common Stock","0001928446","1311","Diversified Utility","2024","FY","2.95%","0.02952531899589677","18759000","635353000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","399"
"GTE","Gran Tierra Energy Inc. Common Stock","0001273441","1311","Diversified Utility","2024","FY","0.78%","0.007776230269266481","3216000","413568000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","640"
"GWRS","Global Water Resources Inc. Common Stock","0001434728","4941","Diversified Utility","2024","FY","12.16%","0.12160742794723133","5789000","47604000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","559"
"HE","Hawaiian Electric Industries Inc. Common Stock","0000354707","4911","Electric Services","2024","FY","-96.28%","-0.9628352316865314","-1424119000","1479089000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","476"
"HNRG","Hallador Energy Company Common Stock","0000788965","4911","Electric Services","2024","FY","-216.85%","-2.1684614278179986","-226138000","104285000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","371"
"HTO","H2O America Common Stock","0000766829","4941","Diversified Utility","2024","FY","6.87%","0.06874088314774092","93967000","1366974000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","370"
"HUSA","Houston American Energy Corporation Common Stock","0001156041","1311","Diversified Utility","2024","FY","-195.33%","-1.9532839614417112","-8216112","4206307","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","277"
"IDA","IDACORP Inc. Common Stock","0001057877","4911","Electric Services","2024","FY","8.68%","0.08681416795308491","289174000","3330954000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","422"
"INDO","Indonesia Energy Corporation Limited Ordinary Shares","0001757840","1311","Diversified Utility","2024","FY","-34.85%","-0.3484618907514774","-6338826","18190873","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","676"
"KGS","Kodiak Gas Services Inc. Common Stock","0001767042","4922","Natural Gas Transmission","2024","FY","6.61%","0.06606106825758719","49895000","755286000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","380"
"KMI","Kinder Morgan Inc. Common Stock","0001506307","4922","Natural Gas Transmission","2024","FY","8.56%","0.08558514296944089","2613000000","30531000000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","471"
